"","round","female","migrant","age","education","polint","prof_training","employment","east","party_pref","internal_effic_ind","external_effic_ind","risk_aversion_ind","csp","active_sport","active_music","active_union","active_environment","active_social","active_religion","active_political","active_other","treatment","wtr_cand","wtr_engage","information","perception_risk_1","perception_risk_2","perception_envir_ind","wtr_ind_full","wtr_ind_reduc","wtr_ind_friend","wtr_work_bt","traits_1","traits_2","traits_3","traits_4","traits_5","traits_6","traits_7","third_round"
"2226",3,0,0,32,1,5,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,4,3,NA,NA,4,3.75,3.75,3.5,4,2,NA,NA,NA,NA,NA,NA,NA,1
"2227",3,0,0,60,1,5,NA,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,3,3,NA,NA,2,3.25,3.5,3,4,3,NA,NA,NA,NA,NA,NA,NA,1
"2228",3,0,0,30,2,6,NA,NA,NA,NA,NA,NA,NA,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,4,4,NA,NA,5,4.25,3.75,4,3.5,4,NA,NA,NA,NA,NA,NA,NA,1
"2229",3,1,0,65,3,6,NA,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,4,3,NA,NA,1,3,3.25,3.5,3,3,NA,NA,NA,NA,NA,NA,NA,1
"2230",3,1,0,63,3,7,NA,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,4,4,NA,NA,3,3.75,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2231",3,0,0,71,3,5,NA,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,2,NA,NA,1,2.75,3.25,1.5,5,1,NA,NA,NA,NA,NA,NA,NA,1
"2232",3,0,0,34,1,4,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,3,3,NA,NA,3,3.25,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,1
"2233",3,1,0,63,1,5,NA,NA,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,NA,NA,NA,NA,2,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2234",3,1,1,63,1,6,NA,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,NA,NA,1,2.75,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1
"2235",3,0,0,59,3,5,NA,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,2,NA,NA,2,3,2.25,1.5,3,2,NA,NA,NA,NA,NA,NA,NA,1
