,crime,city,law,date,background,suspects,party,state,plz,city_id,bl_kuerzel,year,month,day,cycle_1,cycle_2,cycle_3,crime_count,Anzahl Bewerber,darunter Frauen,Land,crime_count_party_lr,crime_count_party,crime_count_lr,crime_count_city,party_lr,Bewerber_city,Frauen_city,bewerber_hit_by_lr,fem_hit_by_lr,bewerber_party_hit_by_lr,fem_party_hit_by_lr,p_female,p_female_lr,p_female_city,p_female_party_lr,p_female_diff,p_female_city_diff,p_female_lr_diff,p_female_party_lr_diff
66,,Bondorf,,,,,AfD,BW,71149.0,8115004.0,BW,,,,2014.0,2014.0,2014.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,right,23.0,6.0,0.0,0.0,0.0,0.0,,,0.2608695652173913,,,0.020380434782608703,,
67,,Bondorf,,,,,CDU,BW,71149.0,8115004.0,BW,,,,2014.0,2014.0,2014.0,0.0,9.0,1.0,8.0,0.0,0.0,0.0,0.0,right,23.0,6.0,0.0,0.0,0.0,0.0,0.1111111111111111,,0.2608695652173913,,0.10317460317460317,0.020380434782608703,,
68,,Bondorf,,,,,DIE LINKE,BW,71149.0,8115004.0,BW,,,,2014.0,2014.0,2014.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,left,23.0,6.0,0.0,0.0,0.0,0.0,,,0.2608695652173913,,,0.020380434782608703,,
69,,Bondorf,,,,,FDP,BW,71149.0,8115004.0,BW,,,,2014.0,2014.0,2014.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,right,23.0,6.0,0.0,0.0,0.0,0.0,,,0.2608695652173913,,,0.020380434782608703,,
70,,Bondorf,,,,,GRÜNE,BW,71149.0,8115004.0,BW,,,,2014.0,2014.0,2014.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,left,23.0,6.0,0.0,0.0,0.0,0.0,,,0.2608695652173913,,,0.020380434782608703,,
71,,Bondorf,,,,,SPD,BW,71149.0,8115004.0,BW,,,,2014.0,2014.0,2014.0,0.0,14.0,5.0,8.0,0.0,0.0,0.0,0.0,left,23.0,6.0,0.0,0.0,0.0,0.0,0.35714285714285715,,0.2608695652173913,,-0.07142857142857145,0.020380434782608703,,
72,,Deckenpfronn,,,,,AfD,BW,75392.0,8115010.0,BW,,,,2019.0,2019.0,2019.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,right,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
73,,Deckenpfronn,,,,,CDU,BW,75392.0,8115010.0,BW,,,,2019.0,2019.0,2019.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,right,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
74,,Deckenpfronn,,,,,DIE LINKE,BW,75392.0,8115010.0,BW,,,,2019.0,2019.0,2019.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,left,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
75,,Deckenpfronn,,,,,FDP,BW,75392.0,8115010.0,BW,,,,2019.0,2019.0,2019.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,right,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
76,,Deckenpfronn,,,,,GRÜNE,BW,75392.0,8115010.0,BW,,,,2019.0,2019.0,2019.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,left,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
77,,Deckenpfronn,,,,,SPD,BW,75392.0,8115010.0,BW,,,,2019.0,2019.0,2019.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,left,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
78,,Deckenpfronn,,,,,AfD,BW,75392.0,8115010.0,BW,,,,2014.0,2014.0,2014.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,right,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
79,,Deckenpfronn,,,,,CDU,BW,75392.0,8115010.0,BW,,,,2014.0,2014.0,2014.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,right,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
80,,Deckenpfronn,,,,,DIE LINKE,BW,75392.0,8115010.0,BW,,,,2014.0,2014.0,2014.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,left,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
81,,Deckenpfronn,,,,,FDP,BW,75392.0,8115010.0,BW,,,,2014.0,2014.0,2014.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,right,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
82,,Deckenpfronn,,,,,GRÜNE,BW,75392.0,8115010.0,BW,,,,2014.0,2014.0,2014.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,left,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
83,,Deckenpfronn,,,,,SPD,BW,75392.0,8115010.0,BW,,,,2014.0,2014.0,2014.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,left,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
84,,Ehningen,,,,,AfD,BW,71139.0,8115013.0,BW,,,,2019.0,2019.0,2019.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,right,54.0,22.0,0.0,0.0,0.0,0.0,,,0.4074074074074074,,,0.09490740740740738,,
85,,Ehningen,,,,,CDU,BW,71139.0,8115013.0,BW,,,,2019.0,2019.0,2019.0,0.0,18.0,5.0,8.0,0.0,0.0,0.0,0.0,right,54.0,22.0,0.0,0.0,0.0,0.0,0.2777777777777778,,0.4074074074074074,,0.05555555555555558,0.09490740740740738,,
