day;place;suspects;background;law;crime;party_1;party_2;party_3;party_4;party_5;;
;;;;;Verwenden von;;;;;;;
;;;;;Kennzeichen;;;;;;;
;;;;;verfassungswidriger;;;;;;;
30.07.2019;Dresden;1;Rechts;STGB-86A;Organisationen;CDU;;;;;;
30.07.2019;Glauchau;0;Links;STGB-303;Sachbeschadigung;AfD;;;;;;
31.07.2019;Panketal;0;Nicht zuzuordnen;STGB-303;Sachbeschadigung;CDU;;;;;;
;;;;;;;;;;;;
31.07.2019;Bad Freienwalde;1;Links;STGB-303;Sachbeschadigung;AfD;;;;;;
31.07.2019;Berlin;0;Links;STGB-303;Sachbeschadigung;AfD;;;;;;
31.07.2019;Heddesheim;1;Rechts;STGB-185;Beleidigung;Bundnis 90/Die Grunen;;;;;;
31.07.2019;Leipzig;0;Links;STGB-303;Sachbeschadigung;AfD;;;;;;
31.07.2019;Waldenburg;0;Links;STGB-303;Sachbeschadigung;AfD;;;;;;
01.08.2019;Berglen;1;Nicht zuzuordnen;STGB-185;Beleidigung;AfD;;;;;;
;;;;;ObI.e Nachrede,;;;;;;;
;;;;;Verleumdung von;;;;;;;
;;;;;Personen des;;;;;;;
02.08.2019;Wittenberge;1;Links;STGB-188;politischen Lebens;AfD;;;;;;
02.08.2019;Hamburg;0;Nicht zuzuordnen;STGB-185;Beleidigung;SPD;;;;;;
;;;;;013Le Nachrede,;;;;;;;
;;;;;Verleumdung von;;;;;;;
;;;;;Personen des;;;;;;;
02.08.2019;Schoningen;1;Rechts;STGB-188;politischen Lebens;CDU;;;;;;
02.08.2019;Nienburg;0;Rechts;STGB-303;Sachbeschadigung;SPD;;;;;;
02.08.2019;Koln;1;Nicht zuzuordnen;STGB-185;Beleidigung;SPD;;;;;;
;;;;;Verwenden von;;;;;;;
;;;;;Kennzeichen;;;;;;;
;;;;;verfassungswidriger;CDU;;;;;;
02.08.2019;Rothenburg;0;Rechts;STGB-86A;Organisationen;SPD;;;;;;
;;;;;Verwenden von;;;;;;;
;;;;;Kennzeichen;;;;;;;
;;;;;verfassungswidriger;CDU;;;;;;
02.08.2019;Meerane;0;Links;STGB-86A;Organisationen;AfD;;;;;;
;;;;;Verwenden von;;;;;;;
;;;;;Kennzeichen;;;;;;;
;;;;;verfassungswidriger;;;;;;;
02.08.2019;Ringleben;1;Rechts;STGB-86A;Organisationen;CDU;;;;;;
03.08.2019;Furth;0;Nicht zuzuordnen;STGB-303;Sachbeschadigung;SPD;;;;;;
03.08.2019;Leipzig;0;Nicht zuzuordnen;STGB-303;Sachbeschadigung;CDU;;;;;;
;;;;;;;;;;;;
;;;;;Verwenden von;;;;;;;
;;;;;Kennzeichen;;;;;;;
;;;;;verfassungswidriger;;;;;;;
03.08.2019;Glauchau;0;Links;STGB-86A;Organisationen;AfD;;;;;;
03.08.2019;Glauchau;0;Links;STGB-303;Sachbeschadigung;AfD;;;;;;
03.08.2019;Remse;0;Links;STGB-303;Sachbeschkligung;AfD;;;;;;
03.08.2019;Dennheritz;0;Links;STGB-303;Sachbeschadigung;AfD;;;;;;
03.08.2019;NiederwEirschnitz;0;Nicht zuzuordnen;STGB-303;Sachbeschadigung;SPD;;;;;;
03.08.2019;Leipzig;0;Nicht zuzuordnen;STGB-303;Sachbeschadigung;CDU;AfD;;;;;
;;;;;;;;;;;;
04.08.2019;Frankfurt;0;Nicht zuzuordnen;STGB-303;Sachbeschadigung;SPD;;;;;;
;;;;;Verwenden von;;;;;;;
;;;;;Kennzeichen;;;;;;;
;;;;;verfassungswidriger;;;;;;;
04.08.2019;Breit;2;Rechts;STGB-86A;Organisationen;Die Linke;;;;;;
;;;;;Aufforderung zu;;;;;;;
04.08.2019;Schulldorf;0;Rechts;STGB-111;Straftaten;CDU;;;;;;
04.08.2019;Dresden;0;Nicht zuzuordnen;STGB-185;Beleidigung;CDU;;;;;;
;;;;;Beschimpfung von;;;;;;;
;;;;;Bekenntnissen,;;;;;;;
;;;;;Religionsgenneinschafte;;;;;;;
05.08.2019;Meerane;0;Links;STGB-166;n, Weltanschauungen;CDU;;;;;;
;;;;;Verwenden von;;;;;;;
;;;;;Kennzeichen;;;;;;;
;;;;;verfassungswidriger;;;;;;;
05.08.2019;Meerane;1;Links;STGB-86A;Organisationen;AfD;CDU;;;;;
;;;;;Verwenden von;;;;;;;
;;;;;Kennzeichen;;;;;;;
;;;;;verfassungswidriger;;;;;;;
05.08.2019;Dresden;0;Links;STGB-86A;Organisationen;AfD;CDU;;;;;
05.08.2019;Leipzig;0;Links;STGB-303;Sachbeschadigung;AfD;CDU;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
06.08.2019;Dresden;0;Nicht zuzuordnen;STGB-303;Sachbeschadigung;SPD;;;;;;
;;;;;VerstoR gegen das;;;;;;;
07.08.2019;Achern;0;Links;KUG;Kunsturhebergesetz;AfD;;;;;;
;;;;;Verwenden von;;;;;;;
;;;;;Kennzeichen;;;;;;;
;;;;;verfassungswidriger;;;;;;;
07.08.2019;Leipzig;0;Rechts;STGB-86A;Organisationen;CDU;;;;;;
07.08.2019;Oelsnitz;0;Rechts;STG B-303;Sachbeschadigung;CDU;;;;;;
;;;;;Beschimpfung von;;;;;;;
;;;;;Bekenntnissen,;;;;;;;
;;;;;Religionsgemeinschafte;;;;;;;
07.08.2019;Dresden;0;Links;STG B-166;n, Weltanschauungen;CDU;;;;;;
07.08.2019;Glauchau;2;Links;STG B-185;Beleidigung;AfD;;;;;;
;;;;;Verwenden von;;;;;;;
;;;;;Kennzeichen;;;;;;;
;;;;;verfassungswidriger;CDU;;;;;;
08.08.2019;Glauchau;1;Links;STGB-86A;Organisationen;AfD;;;;;;
08.08.2019;Leipzig;0;Rechts;STG B-303;Sachbeschadigung;Die Linke;;;;;;
09.08.2019;Eberswalde;1;Links;STGB-223;Korperverletzung;AfD;;;;;;
09.08.2019;Fehrbellin;0;Nicht zuzuordnen;STG B-303;Sachbeschadigung;CDU;;;;;;
09.08.2019;Panketal;0;Nicht zuzuordnen;STG B-303;Sachbeschadigung;CDU;;;;;;
09.08.2019;Krefeld;0;Links;STG B-306;Brandstiftung;AfD;;;;;;
09.08.2019;Bannewitz;1;Links;STGB-240;Notigung;AfD;;;;;;
