Lfd. Nr.;Tatzeit;Tatort;TV;Phänomenbereich;Zähldelikt;Bezeichnung;Betroffene Partei
375;31.08.2020;Wuppertal;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;FDP
376;31.08.2020;Wuppertal;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;FDP
377;28.08.2020;Wuppertal;0;Links;STGB-303;Sachbeschädigung;Sonstige Partei
378;25.08.2020;Wuppertal;0;Links;STGB-303;Sachbeschädigung;AfD
379;25.08.2020;Wuppertal;0;Links;STGB-303;Sachbeschädigung;AfD
380;09.09.2020;Wuppertal;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;CDU
381;08.09.2020;Wuppertal;0;Links;STGB-303;Sachbeschädigung;AfD
382;07.09.2020;Wuppertal;0;Links;STGB-242;Diebstahl;AfD
383;09.09.2020;Wuppertal;0;Links;STGB-242;Diebstahl;AfD
384;09.09.2020;Wuppertal;0;Links;STGB-242;Diebstahl;AfD
385;13.09.2020;Wuppertal;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;Bündnis 90/Die Grünen, CDU, Sonstige Partei
386;06.09.2020;Remscheid;0;Links;STGB-303;Sachbeschädigung;Sonstige Partei
387;23.08.2020;Kiel;0;Links;STGB-242;Diebstahl;AfD
388;19.09.2020;Strande;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;SPD
389;25.08.2020;Ottweiler;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;CDU
390;26.08.2020;Bous;0;Nicht zuzuordnen;STGB-185;Üble Nachrede;DIE LINKE.
391;07.09.2020;Chemnitz;0;Links;STGB-303;Sachbeschädigung;AfD
392;20.08.2020;Chemnitz;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;Bündnis 90/Die Grünen
393;23.08.2020;Chemnitz;2;Links;STGB-303;Sachbeschädigung;Bündnis 90/Die Grünen, CDU, DIE LINKE.
394;25.08.2020;Chemnitz;0;Rechts;STGB-303;Sachbeschädigung;DIE LINKE.
395;29.08.2020;Penig;0;Rechts;STGB-86A;Verwenden von Kennzeichen verfassungswidriger Organisationen;keine Angabe
396;01.09.2020;Chemnitz;1;Rechts;STGB-303;Sachbeschädigung;CDU
397;21.08.2020;Arnsdorf;0;Links;STGB-242;Diebstahl;AfD
398;03.09.2020;Chemnitz;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;CDU
399;26.08.2020;Zwickau;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;CDU
400;27.08.2020;Zwickau;0;Links;STGB-86A;Verwenden von Kennzeichen verfassungswidriger Organisationen;AfD
401;16.08.2020;Schwarzenberg;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;CDU
402;10.09.2020;Chemnitz;0;Rechts;STGB-187;Verleumdung;CDU
403;07.09.2020;Zwickau;0;Rechts;STGB-303;Sachbeschädigung;DIE LINKE.
404;16.09.2020;Chemnitz;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;CDU, SPD
405;23.08.2020;Zwickau;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;CDU
406;16.09.2020;Chemnitz;0;Links;STGB-303;Sachbeschädigung;AfD
407;09.08.2020;Hoyerswerda;1;Links;STGB-303;Sachbeschädigung;AfD
408;09.09.2020;Zwickau;0;Links;STGB-303;Sachbeschädigung;AfD
409;18.09.2020;Zwickau;0;Links;STGB-86A;Verwenden von Kennzeichen verfassungswidriger Organisationen;AfD
410;31.08.2020;Augustusburg;0;Links;STGB-242;Diebstahl;AfD
411;28.09.2020;Chemnitz;0;Links;STGB-86A;Verwenden von Kennzeichen verfassungswidriger Organisationen;Sonstige Partei
412;26.09.2020;Zwickau;4;Rechts;STGB-242;Diebstahl;DIE LINKE.
413;25.09.2020;Zwickau;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;CDU
414;06.09.2020;Markkleeberg;0;Links;STGB-303;Sachbeschädigung;CDU
415;13.07.2020;Nobitz;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;SPD
