Lfd Nr;Tatzeit;Tatort;Sachverhalt;TV*;Phänomenbereich;Zähldelikt;Bezeichnung;Betroffene Partei
48;31.01.2021;Bamberg;"Die CSU-Bundeswahlkreisgeschäftsstelle Bamberg hat im Jahr 2017 an der Hausfassade mehrere Schilder als Werbung für das Büro und die Mitarbeiter der CSU anbringen lassen. Das Schild von der Landtagsabgeordneten Staatsministerin H. wurde von UT in der Nacht vom 19.01.2021 auf 20.01.2021 entwendet. (Fall 01 4101-001169-21/5) Im Zeitraum von Samstag, 30.01.2021 bis Sonntag, 31.01. 2021 wurde nun von UT die Hausfassade an der CSU Bundeswahlkreisgeschäftsstelle in Bamberg beschmiert. Ein bislang unbekannter Täter schrieb mit einem schwarzen Edding-Stift die Buchstaben ""AfD"" genau an die Stelle am Gebäude, an der vorher das besagte Schild hing. Aufgrund des Schriftzugs ist von politisch motivierten Beweggründen auszugehen. Im direkten Umfeld der Geschäftsstelle befindet sich der Treffpunkt/Versammlungsort der ""Stay Awake Bamberg"" Spaziergänge und Kundgebungen. Es entstand ein Sachschaden von ca. 50,--Euro.";0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CSU
49;14.03.2021;Moosburg;UT beschmierte mit einem Filzstift die Schaufensterscheibe des AFD-Büros mit beleidigendem Inhalt (Fuck AFD usw.) Zudem wurde auch die Scheibe bespuckt.;0;Links;§ 185 StGB;Beleidung;AfD
47;10.02.2021;Nürnberg;"Im Parteibüro der Partei ""Die Linke"" Nürnberg ging am 10.02.21 postalisch ein maschinell erstelltes Schreiben ein. Nach der Anrede (""Sehr geehrte Vollidioten"") gab der Verfasser an, dass er es sehr schätzen würde, wenn der Jamnitzer Platz zu einer Gaskammer umfunktioniert werden würde. Zudem wird eine Sachbeschädigung (mittels Farbe) am Bürogebäude der Partei angedroht. Ebenso wurde der GS (Stadtrat für die o.g. Partei) als ""Gesocks"" bezeichnet.";0;Rechts;§ 185 StGB;Beleidigung;Die Linke
50;09.03.2021;Moosburg;UT warf eine brennende Zigarette in den Briefkasten des Bürgerbüros der AFD, sodass dort innenliegende Briefe leicht angekokelt waren. Zudem wurden mehrere DIN A 4 große Schriftstücke ans Schaufenster geklebt auf welchen Sprüche von AFD-Politikern waren. Hier wird noch die Strafbarkeit geprüft. LT ÄM AZ geändert.;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;AfD
51;18.03.2021;Rain;"UT beschädigte die Fensterscheibe des CSU Schaukastens. Dabei ging das Glas zu Bruch. Zusätzlich wurden durch UT 4 handgeschriebene Briefe im Schaukasten zurückgelassen. Die Briefe wurden sichergestellt. Dem Inhalt der Briefe nach handelt es sich um eine politisch motivierte Tat, da offenkundig Kritik an der AFD sowie der Impfpolitik ausgeübt wird. Inhalt der Briefe u. a.: ""AfD kann nicht für den Corona - Holocoust behilflich sein... um eine Endlösung im Sinne der CDU / CSU zu erreichen muss man die AfD verbieten und die NSDAP wieder erlauben... , Die NSDAP hatte auch progressiv gestimmte Gesundheits - Programme..."" cov#19 Laut Meldung LKA vom 04.05.2021: AZ hinzugefügt.";0;Rechts;§ 130 StGB;Volksverhetzung;AfD, CSU
52;17.02.2021;München;"UT bewarfen das Schaufenster von ""Die Linke"" mit rohen Eiern.";0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Die Linke
53;05.02.2021;Fulda;Durch UT wurden in der Vergangenheit immer wieder durch den politisch rechten Gegner fremdenfeindliche Aufkleber auf den Briefkasten des Parteibüros geklebt. In einen der Aufkleber wurde nun ein Hakenkreuz eingeritzt.;0;Rechts;§ 86A StGB;Verwenden von Kennzeichen verfassungswidriger Organisationen;Die Linke
55;07.03.2021;Kassel;"UT brachten mittels Farbe folgende Schriftzüge an die Parteibüros der SPD, Die Grünen und DIE LINKEN an: - All Colonists are Bastards - Afrikaviertel umbenennen. Die Schriftzüge wurden in roter bzw. weißer Farbe gesprüht. Des Weiteren wurden die vermeintlichen Straßennamen „K. Nguvauva Straße"" und „N. Kavikunua Straße"" in weißer Farbe aufgesprüht. Hierzu wurde eine Schablone genutzt.";0;Links;§ 303 StGB;Sachbeschädigung;Die Linke, Bündnis 90/Die Grünen, SPD
56;30.03.2021;Hamburg;UT zerstörten die rechte Fensterscheibe des Büros der Bundestagsabgeordneten Frau Dorothee M. (SPD).;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;SPD
57;18.01.2021;Rostock;"Unbekannte Täter brachten mittels bläulicher Sprühfarbe auf die Eingangstür zum Büro der AfD die Schriftzüge ""NAZIS RAUS"" und ""FCK AfD"" auf. Die Schriftzüge erstrecken sich über eine Fläche von ca. 0,5 m Breite und ca. 1.5 m Höhe. Von außen ist nicht ersichtlich, dass es sich um ein Büro der AfD handelt, der oder die Täter müssen augenscheinlich dieses aber gewusst haben.";0;Links;§ 303 StGB;Sachbeschädigung;AfD
58;22.02.2021;Demmin;HWG teilt mit, dass sich an dem Schaufenster des Wahlkreisbüros der LINKEN in Demmin ein HK befindet.;0;Rechts;§ 86A StGB;Verwenden von Kennzeichen verfassungswidriger Organisationen;Die Linke
54;12.03.2021;Marburg;"UT haben Farbbeutel mit brauner Farbe gegen die Schaufensterverglasung der CDU-Lounge geworfen. Auf einem der beiden Schaufenster ist das Portrait des CDU Kandidaten Dirk BAMBERGER, als Werbung für die Wahl des Oberbürgermeisters von Marburg, aufgeklebt. Das Gesicht von Herrn BAMBERGER wurde mit mehreren Aufklebern mit der Aufschrift ""GOOD NIGHT WHITE PRIDE"" überklebt. Des Weiteren wurden Aufkleber mit der Aufschrift ""Ich bin ein Freund der Burschenschaft Arminia"" aufgeklebt.";0;Links;§ 303 StGB;Sachbeschädigung;CDU
59;12.03.2021;Güstrow;"Während der Streifentätigkeit stellten die PVB an der Fassade vom Güstrower CDU-Parteibüro den roten, ca. 40x100cm großen Schriftzug ""Kryoun"" sowie ein blaues ""Hi"" 30x30cm fest.";0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU
60;13.01.2021;Achim;UT versandte einen Brief mit pulverartigem Inhalt und aufgemaltem Hakenkreuz (Briefinnenseite) an den SPD-Ortsverein in Achim. Die angegebenen Absenderpersonalien sind nicht existent. Brief und Pulver durch LKA gesichert. Schnellanalyse ergab keine Hinweise auf einen Gefahrstoff!;0;Rechts;§ 86A StGB;Verwenden von Kennzeichen verfassungswidriger Organisationen;SPD
61;20.01.2021;Braunschweig;"UT beschädigten den Firmenwagen des BS (Vorsitzender der Partei ""Die Rechte"") indem die Frontscheibe eingeschlagen, die Reifen zerstochen und eine ätzende Substanz über den Lack gegossen wurde.";0;Links;§ 303 StGB;Sachbeschädigung;Sonstige Partei
62;03.02.2021;Bad Nenndorf;UT zerstörten die Scheibe des Infokastens des CDU Kreisverbandes.;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU
63;31.01.2021;Wesel;Ein Zeuge gab an eine männliche unbekannte Person gesehen zu haben, welche mittels einer Schleuder/Zwille zwei Fensterscheiben des CDU-Kreisgeschäftsstelle beschädigt hat. Die Person flüchtete auf Ansprache fußläufig.;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU
64;10.03.2021;Hagen;"Durch UT wurde das Parteibüro der CDU mit Zetteln beklebt. Auf diesen Zetteln stand u.a. ""Kinderschänder"" ""Menschenverachtend"" ""Virus"". cov#19";0;Nicht zuzuordnen;§ 185 StGB;Beleidigung;CDU
65;05.01.2021;Köln;"UT beschmierten das Bürgerbüro der SPD mit einem schwarzen Farbstift ""Anarchiezeichen"" und zerkratzten die Scheibe.";0;Links;§ 303 StGB;Sachbeschädigung;SPD
66;05.03.2021;Greven;"Durch UT wurde jeweils ein Messingstift in die drei Schlösser der Zugangstür zum Parteibüro der Fraktion ""Bündnis 90 / Die Grünen"" eingeführt. Im Briefkasten wurde parallel die eingeworfene Broschüre ""Deutschland verrecke, Zehn Todsünden der Grünen gegen das deutsche Volk"" gefunden. Bereits eine Woche zuvor war festgestellt worden, dass Unbekannte die Schlösser mit Klebstoff verklebt hatten.";0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen
67;25.01.2021;Haltern am See;Durch UT wurde mittels mehrerer Steinwürfe eine Fensterscheibe sowie eine außen am Gebäude angebrachte Leuchtreklametafel des Büros des Stadtverbandes der CDU Haltern am See beschädigt. In dem Gebäude ist auch das Büro eines Landtagsabgeordneten der CDU untergebracht.;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU
68;09.03.2021;Wuppertal;An insgesamt 27 Tatorten wurden von UT diverse Farbschmierereien an Gebäudefassaden und auf der Fahrbahn angebracht. Zudem wurde eine Glasscheibe des Parteibüros der SPD mit einem Backstein eingeworfen und beschädigt. Die Farbschmierereien können nach ersten Erkenntnissen der linkspolitischen Szene zugeordnet werden.;0;Links;§ 303 StGB;Sachbeschädigung;SPD
69;14.01.2021;Cochem;Ein Mitarbeiter eines MdL (SPD) teilt mit, dass die Fensterscheibe des Abgeordnetenbüros beschädigt wurde. Vor Ort wird eine ca. 10x15 cm große Bruchstelle an der äußeren Fensterscheibe der Doppelverglasung festgestellt. Unterhalb der beschädigten Fensterscheibe lagen auf dem Boden eine Schnapsflasche sowie Scherben einerweiteren Schnapsflasche. Auf der gegenüberliegenden Straßenseite konnte darüber hinaus ein auf dem Boden liegender Mülleimer vorgefunden werden, der wieder in die dafür vorgesehene Vorrichtung gehangen werden konnte. Die Tatörtlichkeit liegt auf der Verbindung zwischen Bahnhof und Innenstadt Cochem. Die Gesamtumstände lassen den Schluss zu, dass gestern Abend oder in Nacht UT durch die Straße gezogen sind und ihr Unwesen getrieben haben. Im Rahmen der Flinweisaufnahme wurden im Nahbereich des Tatortes bedruckte Papierzettel aufgefunden und sichergestellt. Inhalt und Aufdruck der Zettel (White lives matter, we stand side by side, unite the ride, not all cops are bastards, www.ansgararyan.com,www.the-revolution.de) deuten auf eine politisch motivierte Tatausführung hin.;0;Rechts;§ 303 StGB ;Sachbeschädigung;SPD
70;27.03.2021;Ludwigshafen;"Ein neutraler Passant meldete, dass sich mehrere Personen vor dem AfD-Bürgerbüro in Ludwigshafen aufhalten würden. Es würde den Anschein machen, als würden die Personen die Jalousien des AfD-Bürgerbüros beschmieren. Vor Ort konnte der BS sowie fünf weitere Personen festgestellt werden. Am AfD-Bürgerbüro konnte eine frische Beschädigung an einer Jalousie festgestellt werden. Hierbei wurde das antifaschistische ""A"" im Kreis an die Jalousie gezeichnet. Im Zuge der Gesprächsführung ergab sich der Tatverdacht, dass der bereits einschlägig in Erscheinung getretene BS für die besagte Sachbeschädigung verantwortlich sein dürfte.";1;Links;§ 303 StGB;Sachbeschädigung;AfD
71;18.01.2021;Bordesholm;"UT brachten beim Bürgerbüro der SPD einen Zettel an mit der Aufschrift: ""IHR DRECKIGEN KOMMUNISTEN WERDET FÜR EURE VERBRECHEN GEGEN DAS VOLK HÄNGEN!""";0;Rechts;§ 241 StGB;Bedrohung;SPD
72;26.02.2021;Lübeck;"UT beschädigten die Fenster des SPD-Kreisverbandes mit Graffiti ""SPD lügt"", ""#BAWA bleibt"" und ""R94"". Weiterhin wies die Verglasung 5 kleinere Löcher auf. Weitere Verschmutzung durch eine mit Farbe befüllte Christbaumkugel.";0;Links;§ 303 StGB;Sachbeschädigung;SPD
73;23.03.2021;Neumünster;"Der UT schlug vermutlich mit einem Stein das Fenster eines Büros des Kreisverbandes der Partei ""SPD"" ein. Hinter dem tatbetroffenen Fenster liegt das Büro der GS. Diese ist Vizepräsidentin des schleswig-holsteinischen Landtags und Landesabgeordnete der Partei ""SPD"". Sie habe sich des Öfteren öffentlich gegen Rechts ausgesprochen.";0;Rechts;§ 303 StGB;Sachbeschädigung;SPD
74;04.01.2021;Rochlitz;Durch UT wurde am Fenster des Parteibüros Die Linke in Rochlitz, Teile einer aufgeklebten Dekoration abgekratzt und somit beschädigt. Es wurde unter anderem der Schriftzug ' Toleranz ' entfernt. Der entstandene Sachschaden beträgt 175 EUR.;0;Rechts;§ 303 StGB;Sachbeschädigung;Die Linke
75;27.01.2021;Borna;"UT schmierten ein ""Hakenkreuz"" an den Briefkasten der Partei ""Die Linke"".";0;Rechts;§ 86A StGB;Verwenden von Kennzeichen verfassungswidriger Organisationen;Die Linke
76;03.02.2021;Dresden;"UT schmierten an die Tür des Bürgerbüros der CDU folgende Schriftzüge ""Die CDU unterstützt Krieg & Diktatur in der Türkei' und 'BiJi YPG'.";0;Links;§ 303 StGB;Sachbeschädigung;CDU
