Satz-art;Text-kenn-zeichen;Land;RB;Kreis;VB;Gem;Gemeindename;;insgesamt;männlich;weiblich;je km2;plz;Längengrad;Breitengrad;key_travel;Reisegebiete;Schlüssel;Grad der Verstädterung
60;64;1;0;51;5172;81;Norderwöhrden;18,47;269;147;122;15;25746;9,000232;54,192783;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5172;82;Nordhastedt;26,56; 2 827; 1 422; 1 405;106;25785;9,182991;54,17205;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5172;87;Ostrohe;6,67;939;476;463;141;25746;9,130804;54,214;F04;übrig. Schleswig-Holstein;2;mittlere Besiedlungsdichte
60;64;1;0;51;5172;107;Stelle-Wittenwurth;10,71;408;191;217;38;25795;9,066849;54,254357;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5172;113;Wöhrden;21,77; 1 239;622;617;57;25797;8,994508;54,165463;F01;Nordsee;3;gering besiedelt
60;64;1;0;51;5172;122;Weddingstedt;17,79; 2 326; 1 161; 1 165;131;25795;9,088863;54,239275;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5172;130;Wesseln;3,76; 1 418;714;704;377;25746;9,075443;54,208327;F04;übrig. Schleswig-Holstein;2;mittlere Besiedlungsdichte
50;51;1;0;51;5175;;Mitteldithmarschen;;;;;;;;;;;;
60;64;1;0;51;5175;1;Albersdorf;17,12; 3 721; 1 840; 1 881;217;25767;9,283995;54,146557;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5175;2;Arkebek;6,92;213;108;105;31;25767;9,250362;54,160197;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5175;4;Bargenstedt;11,9;912;441;471;77;25704;9,144199;54,095594;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5175;6;Barlt;22,88;749;383;366;33;25719;9,058002;54,012444;F01;Nordsee;3;gering besiedelt
60;64;1;0;51;5175;15;Bunsoh;11,75;799;407;392;68;25767;9,320225;54,165522;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5175;17;Busenwurth;10,09;300;160;140;30;25719;9,04131;54,041612;F01;Nordsee;3;gering besiedelt
60;64;1;0;51;5175;27;Elpersbüttel;30,17;862;442;420;29;25704;9,047156;54,072963;F01;Nordsee;3;gering besiedelt
60;64;1;0;51;5175;28;Epenwöhrden;13,52;774;382;392;57;25704;9,052894;54,112805;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5175;39;Gudendorf;6,04;382;193;189;63;25693;9,1082;54,024736;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5175;54;Immenstedt;3,09;106;45;61;34;25767;9,299737;54,180686;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5175;63;Krumstedt;15,89;500;252;248;31;25727;9,177954;54,068684;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;63;1;0;51;5175;74;Meldorf, Stadt;21,26; 7 299; 3 501; 3 798;343;25704;9,068784;54,090945;F04;übrig. Schleswig-Holstein;2;mittlere Besiedlungsdichte
60;64;1;0;51;5175;78;Nindorf;8,74; 1 143;589;554;131;25704;9,114943;54,086722;F04;übrig. Schleswig-Holstein;2;mittlere Besiedlungsdichte
60;64;1;0;51;5175;83;Odderade;11,26;327;158;169;29;25785;9,190795;54,139384;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5175;85;Offenbüttel;13,95;264;133;131;19;25767;9,357994;54,169186;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5175;86;Osterrade;17,09;406;204;202;24;25767;9,353264;54,190212;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5175;98;Sarzbüttel;13,39;690;346;344;52;25785;9,184289;54,118971;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5175;99;Schafstedt;18,16; 1 285;645;640;71;25725;9,293675;54,079915;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5175;104;Schrum;5;65;35;30;13;25782;9,251667;54,187229;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5175;126;Wennbüttel;4,59;88;41;47;19;25767;9,32237;54,137969;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5175;134;Windbergen;17,31;804;406;398;46;25729;9,117779;54,044978;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5175;135;Wolmersdorf;6,1;327;163;164;54;25704;9,103978;54,077114;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5175;137;Nordermeldorf;34,1;591;316;275;17;25704;9,013736;54,112068;F01;Nordsee;3;gering besiedelt
60;64;1;0;51;5175;138;Tensbüttel-Röst;19,36;671;330;341;35;25767;9,228605;54,105741;F04;übrig. Schleswig-Holstein;3;gering besiedelt
50;51;1;0;51;5178;;Büsum-Wesselburen;;;;;;;;;;;;
60;64;1;0;51;5178;13;Büsum;8,48; 4 852; 2 254; 2 598;572;25761;8,860613;54,129253;F01;Nordsee;3;gering besiedelt
60;64;1;0;51;5178;14;Büsumer Deichhausen;2,87;360;168;192;125;25761;8,890088;54,136175;F01;Nordsee;3;gering besiedelt
60;64;1;0;51;5178;33;Friedrichsgabekoog;8,62;54;29;25;6;25764;8,941082;54,157516;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5178;43;Hedwigenkoog;16,36;211;103;108;13;25761;8,840953;54,177985;F01;Nordsee;3;gering besiedelt
60;64;1;0;51;5178;45;Hellschen-Heringsand-Unterschaar;7,02;177;91;86;25;25764;8,872882;54,194536;F01;Nordsee;3;gering besiedelt
