Satz-art;Text-kenn-zeichen;Land;RB;Kreis;VB;Gem;Gemeindename;plz;Längengrad;Breitengrad;reiseziel;Besiedlungsgrad
60;64;01;0;51;5175;054;Immenstedt;25767;9,299737;54,180686;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5175;063;Krumstedt;25727;9,177954;54,068684;übrig. Schleswig-Holstein;gering besiedelt
60;63;01;0;51;5175;074;Meldorf;25704;9,068784;54,090945;Nordsee;mittlere Besiedlungsdichte
60;64;01;0;51;5175;078;Nindorf;25704;9,114943;54,086722;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5175;083;Odderade;25785;9,190795;54,139384;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5175;085;Offenbüttel;25767;9,357994;54,169186;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5175;086;Osterrade;25767;9,353264;54,190212;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5175;098;Sarzbüttel;25785;9,184289;54,118971;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5175;099;Schafstedt;25725;9,293675;54,079915;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5175;104;Schrum;25782;9,251667;54,187229;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5175;126;Wennbüttel;25767;9,3225;54,138606;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5175;134;Windbergen;25729;9,117779;54,044978;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5175;135;Wolmersdorf;25704;9,103978;54,077114;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5175;137;Nordermeldorf;25704;9,013736;54,112068;Nordsee;gering besiedelt
60;64;01;0;51;5175;138;Tensbüttel-Röst;25767;9,228605;54,105741;übrig. Schleswig-Holstein;gering besiedelt
50;51;01;0;51;5178;;Büsum-Wesselburen;;;;;
60;64;01;0;51;5178;013;Büsum;25761;8,859577;54,130341;Nordsee;gering besiedelt
60;64;01;0;51;5178;014;Büsumer Deichhausen;25761;8,890088;54,136175;Nordsee;gering besiedelt
60;64;01;0;51;5178;033;Friedrichsgabekoog;25764;8,941082;54,157516;übrig. Schleswig-Holstein;gering besiedelt
