city_id;city;pop;pop_female;pop_male;year;state
8425072;        Langenau, Stadt;14358;7254;7104;2009;BW
8425073;        Lauterach;602;330;272;2009;BW
8425075;        Lonsee;4698;2384;2314;2009;BW
8425079;        Merklingen;1876;921;955;2009;BW
8425081;        Munderkingen, Stadt;4913;2387;2526;2009;BW
8425083;        Neenstetten;841;414;427;2009;BW
8425084;        Nellingen;1891;961;930;2009;BW
8425085;        Nerenstetten;347;171;176;2009;BW
8425088;        Oberdischingen;2029;1003;1026;2009;BW
8425090;        Obermarchtal;1260;633;627;2009;BW
8425091;        Oberstadion;1576;842;734;2009;BW
8425092;        Öllingen;535;281;254;2009;BW
8425093;        Öpfingen;2282;1153;1129;2009;BW
8425097;        Rammingen;1272;666;606;2009;BW
8425098;        Rechtenstein;270;142;128;2009;BW
8425104;        Rottenacker;2162;1115;1047;2009;BW
8425108;        Schelklingen, Stadt;7166;3652;3514;2009;BW
8425110;        Schnürpflingen;1339;666;673;2009;BW
8425112;        Setzingen;616;314;302;2009;BW
8425123;        Untermarchtal;931;340;591;2009;BW
8425124;        Unterstadion;748;372;376;2009;BW
8425125;        Unterwachingen;206;113;93;2009;BW
8425130;        Weidenstetten;1260;643;617;2009;BW
8425134;        Westerheim;2858;1428;1430;2009;BW
8425135;        Westerstetten;2220;1109;1111;2009;BW
8425137;        Illerkirchberg;4722;2357;2365;2009;BW
8425138;        Staig;3175;1580;1595;2009;BW
8425139;        Heroldstatt;2674;1322;1352;2009;BW
8425140;        Balzheim;2020;1064;956;2009;BW
8425141;        Blaustein, Stadt;15441;7667;7774;2009;BW
8426001;        Achstetten;4130;2059;2071;2009;BW
8426005;        Alleshausen;496;258;238;2009;BW
8426006;        Allmannsweiler;315;159;156;2009;BW
8426008;        Altheim;2272;1130;1142;2009;BW
8426011;        Attenweiler;1722;909;813;2009;BW
8426013;        Bad Buchau, Stadt;3995;1973;2022;2009;BW
8426014;        Bad Schussenried, Stadt;8483;4195;4288;2009;BW
8426019;        Berkheim;2692;1345;1347;2009;BW
8426020;        Betzenweiler;707;366;341;2009;BW
8426021;        Biberach an der Riß, Stadt;32424;15728;16696;2009;BW
8426028;        Burgrieden;3611;1839;1772;2009;BW
8426031;        Dettingen an der Iller;2345;1178;1167;2009;BW
8426035;        Dürmentingen;2626;1321;1305;2009;BW
8426036;        Dürnau;448;230;218;2009;BW
