,city,date,background,law,suspects,crime,party,state,plz,city_id,insgesamt,cycle_1,cycle_2_x,cycle_3_x,crime_count,Anzahl Bewerber,Prozent Frauen,darunter Frauen,year,Land,city_id_bb,cycle_2_y,cycle_3_y,crime_count_party_lr,crime_count_party,crime_count_lr,crime_count_city,party_lr,p_female,Bewerber_city,Frauen_city,bewerber_hit_by_lr,fem_hit_by_lr,bewerber_party_hit_by_lr,fem_party_hit_by_lr,p_female_lr,p_female_city,p_female_party_lr,p_female_diff,p_female_city_diff,p_female_lr_diff,p_female_party_lr_diff,county,index,pop,female,size,share_fem,density,degree_urban,day
967,Bortlingen,,,,,,AfD,BW,73104.0,8117011.0,,2019.0,,,0.0,0.0,0.0,0.0,,8.0,,2019.0,2019.0,0.0,0.0,0.0,0.0,right,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,Göppingen,2875.0,1690.0,850.0,8.26,1.988235294117647,205.0,2.0,
973,Bortlingen,,,,,,AfD,BW,73104.0,8117011.0,,2014.0,,,0.0,0.0,0.0,0.0,,8.0,,2014.0,2014.0,0.0,0.0,0.0,0.0,right,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,Göppingen,2874.0,1709.0,853.0,8.26,2.003516998827667,207.0,1.0,
979,Bad Boll,,,,,,AfD,BW,73087.0,8117012.0,,2019.0,,,0.0,0.0,0.0,0.0,,8.0,,2019.0,2019.0,0.0,0.0,0.0,0.0,right,,14.0,5.0,0.0,0.0,0.0,0.0,,0.35714285714285715,,,0.0,,,Göppingen,2861.0,5151.0,2680.0,10.95,1.9220149253731342,470.0,2.0,
985,Bad Boll,,,,,,AfD,BW,73087.0,8117012.0,,2014.0,,,0.0,0.0,0.0,0.0,,8.0,,2014.0,2014.0,0.0,0.0,0.0,4.0,right,,14.0,5.0,0.0,0.0,0.0,0.0,,0.35714285714285715,,,0.0,,,Göppingen,2860.0,5067.0,2631.0,10.95,1.9258836944127709,463.0,1.0,
994,Deggingen,,,,,,AfD,BW,73326.0,8117014.0,,2019.0,,,0.0,0.0,0.0,0.0,,8.0,,2019.0,2019.0,0.0,0.0,0.0,0.0,right,,20.0,7.0,0.0,0.0,0.0,0.0,,0.35,,,0.03421052631578947,,,Göppingen,2935.0,5333.0,2708.0,22.71,1.9693500738552436,235.0,2.0,
1000,Deggingen,,,,,,AfD,BW,73326.0,8117014.0,,2014.0,,,0.0,0.0,0.0,0.0,,8.0,,2014.0,2014.0,0.0,0.0,0.0,0.0,right,,19.0,6.0,0.0,0.0,0.0,0.0,,0.3157894736842105,,,0.03421052631578947,,,Göppingen,2934.0,5222.0,2644.0,22.7,1.975037821482602,230.0,2.0,
1006,Donzdorf,,,,,,AfD,BW,73072.0,8117015.0,,2019.0,,,0.0,0.0,0.0,0.0,,8.0,,2019.0,2019.0,0.0,0.0,0.0,0.0,right,,50.0,18.0,0.0,0.0,0.0,0.0,,0.36,,,0.10999999999999999,,,Göppingen,2855.0,10627.0,5261.0,39.82,2.0199581828549706,267.0,2.0,
1012,Donzdorf,,,,,,AfD,BW,73072.0,8117015.0,,2014.0,,,0.0,0.0,0.0,0.0,,8.0,,2014.0,2014.0,0.0,0.0,0.0,0.0,right,,32.0,8.0,0.0,0.0,0.0,0.0,,0.25,,,0.10999999999999999,,,Göppingen,2854.0,10737.0,5405.0,39.82,1.9864939870490286,270.0,2.0,
1018,Drackenstein,,,,,,AfD,BW,73345.0,8117016.0,,2019.0,,,0.0,0.0,0.0,0.0,,8.0,,2019.0,2019.0,0.0,0.0,0.0,0.0,right,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,Göppingen,2949.0,1278.0,579.0,17.32,2.2072538860103625,75.5,1.0,
1024,Drackenstein,,,,,,AfD,BW,73345.0,8117016.0,,2014.0,,,0.0,0.0,0.0,0.0,,8.0,,2014.0,2014.0,0.0,0.0,0.0,0.0,right,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,Göppingen,2948.0,1237.0,576.0,17.330000000000002,2.1475694444444446,71.0,1.0,
