,plz,year,pop,female,density,degree_urban,size,share_fem
132,74391.0,2014,2709.0,1337.0,438,mittlere Besiedlungsdichte,"6,19",0.4935400516795866
133,74366.0,2014,5436.0,2727.0,637,mittlere Besiedlungsdichte,"8,53",0.5016556291390728
134,74385.0,2014,6231.0,3178.0,612,mittlere Besiedlungsdichte,"10,18",0.5100304926978013
135,71691.0,2014,15717.0,8065.0, 1 196,mittlere Besiedlungsdichte,"13,14",0.5131386396895081
136,71563.0,2014,4456.0,2242.0,439,mittlere Besiedlungsdichte,"10,15",0.5031418312387792
137,71726.0,2014,6030.0,3004.0, 1 238,mittlere Besiedlungsdichte,"4,87",0.4981757877280265
138,71729.0,2014,4808.0,2381.0,552,mittlere Besiedlungsdichte,"8,71",0.495216306156406
139,71672.0,2014,15382.0,7844.0,852,mittlere Besiedlungsdichte,"18,06",0.5099466909374594
140,71282.0,2014,7342.0,3669.0,595,mittlere Besiedlungsdichte,"12,34",0.49972759466085537
141,71701.0,2014,11326.0,5637.0,762,mittlere Besiedlungsdichte,"14,87",0.4977043969627406
142,71711.0,2014,6279.0,3210.0,806,mittlere Besiedlungsdichte,"7,79",0.5112279025322504
143,71711.0,2014,12086.0,6092.0,521,mittlere Besiedlungsdichte,"23,18",0.5040542776766507
144,71735.0,2014,6667.0,3315.0,254,gering besiedelt,"26,21",0.49722513874306284
145,71739.0,2014,3251.0,1597.0,398,gering besiedelt,"8,16",0.49123346662565365
146,74372.0,2014,5607.0,2842.0,488,gering besiedelt,"11,48",0.5068664169787765
147,71665.0,2014,28380.0,14306.0,387,mittlere Besiedlungsdichte,"73,42",0.5040873854827344
148,73553.0,2014,7053.0,3481.0,103,mittlere Besiedlungsdichte,"68,52",0.49354884446334896
149,70734.0,2014,44611.0,23068.0, 1 611,mittlere Besiedlungsdichte,"27,7",0.5170921969917733
150,71404.0,2014,10305.0,5311.0, 1 220,mittlere Besiedlungsdichte,"8,45",0.5153808830664726
151,71540.0,2014,13656.0,6922.0,192,mittlere Besiedlungsdichte,"71,13",0.5068834212067955
152,73635.0,2014,11113.0,5567.0,282,mittlere Besiedlungsdichte,"39,37",0.5009448393773058
153,71332.0,2014,53407.0,27344.0, 1 249,mittlere Besiedlungsdichte,"42,76",0.5119928099312824
154,73663.0,2014,6067.0,3035.0,235,gering besiedelt,"25,87",0.5002472391626833
155,73630.0,2014,13630.0,6910.0,900,mittlere Besiedlungsdichte,"15,14",0.5069699192956714
156,71384.0,2014,26373.0,13423.0,832,mittlere Besiedlungsdichte,"31,71",0.508967504644902
