,date,place,suspects,background,law,crime,party_1,party_2,party_3,party_4,party_5,party_6,party_7,id
8938,23.08.2019,Rochlitz,0,Links,STGB-248A,Diebstahl geringwertiger Sachen,AfD,,,,,,,8938
8940,23.08.2019,Rochlitz,0,Links,STGB-248A,Diebstahl geringwertiger Sachen,AfD,,,,,,,8940
8941,24.08.2019,Werder,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,8941
8942,24.08.2019,Bestensee,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,8942
8947,24.08.2019,Finsterwalde,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,8947
8948,24.08.2019,Sonnewalde,0,Rechts,STGB-303,Sachbeschadigung,Die Linke,,,,,,,8948
8949,24.08.2019,Cottbus,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,8949
8953,24.08.2019,Potsdam,0,Rechts,STGB-86A,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,Die Linke,,,,,,,8953
8954,24.08.2019,Eisenhatenstadt,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,8954
8955,24.08.2019,Wustermark,0,Nicht zuzuordnen,STGB-242,Diebstahl,Grune,,,,,,,8955
8956,24.08.2019,Brandenburg,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,FDP,,,,,,,8956
8957,24.08.2019,Kloster Lehnin,0,Rechts,STGB-303,Sachbeschadigung,Die Linke,,,,,,,8957
8958,24.08.2019,Rochlitz,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,8958
8961,24.08.2019,Leipzig,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,CDU,,,,,,8961
8962,24.08.2019,Weisswasser,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,8962
8963,24.08.2019,Aue,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,8963
8964,24.08.2019,Lichtenstein,0,Links,STGB-242,Diebstahl,AfD,,,,,,,8964
8968,24.08.2019,Lichtenstein,0,Links,STGB-86A,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,AfD,,,,,,,8968
8969,24.08.2019,Dresden,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,8969
8970,24.08.2019,Dresden,1,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,8970
8971,24.08.2019,Dresden,1,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,8971
8972,24.08.2019,Dresden,1,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,8972
8973,24.08.2019,Freiberg,6,Links,STGB-303,Sachbeschadigung,Sonstige,,,,,,,8973
8974,24.08.2019,Stadt Wehlen,0,Links,STGB-241,Bedrohung,AfD,,,,,,,8974
8977,24.08.2019,Leipzig,0,Rechts,STGB-303,Sachbeschadigung,SPD,Die Linke,,,,,,8977
8978,24.08.2019,Radebeul,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,8978
8982,24.08.2019,Leipzig,0,Links,STGB-223,Korperverletzung,AfD,,,,,,,8982
8983,24.08.2019,Leipzig,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,8983
8984,24.08.2019,Leipzig,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,8984
8985,24.08.2019,Leipzig,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,8985
8986,24.08.2019,Leipzig,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,8986
8987,24.08.2019,Stauchitz,1,Nicht zuzuordnen,STGB-242,Diebstahl,Sonstige,,,,,,,8987
8988,24.08.2019,Schkeuditz,1,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Sonstige,,,,,,,8988
8989,24.08.2019,Meissen,0,Links,STGB-242,Diebstahl,AfD,,,,,,,8989
8994,25.08.2019,Lauchhammer,1,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,Grune,CDU,Die Linke,AfD,,,8994
8995,25.08.2019,Finsterwalde,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Sonstige,,,,,,,8995
8996,25.08.2019,Spremberg,0,Rechts,STGB-303,Sachbeschadigung,Die Linke,,,,,,,8996
8997,25.08.2019,Lauchhammer,1,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,8997
8998,25.08.2019,Ucker,0,Links,STGB-242,Diebstahl,AfD,,,,,,,8998
9001,25.08.2019,Potsdam,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,FDP,Die Linke,,,,,,9001
9002,25.08.2019,Drebkau,0,Links,STGB-303,Sachbeschadigung,Sonstige,,,,,,,9002
9003,25.08.2019,Stahnsdorf,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,9003
9007,25.08.2019,Bernstadt,0,Rechts,STGB-86A,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,CDU,,,,,,,9007
9010,25.08.2019,Leipzig,1,Links,STGB-303,Sachbeschadigung,CDU,AfD,,,,,,9010
9011,25.08.2019,Reichenbach,0,Links,STGB-242,Diebstahl,AfD,,,,,,,9011
9012,25.08.2019,Chemnitz,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,9012
9013,25.08.2019,Dresden,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,9013
9019,25.08.2019,Dresden,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,Die Linke,,,,,,9019
9020,25.08.2019,Dresden,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Sonstige,,,,,,,9020
9021,25.08.2019,Kitzscher,0,Rechts,STGB-303,Sachbeschadigung,CDU,,,,,,,9021
9022,25.08.2019,Markranstadt,0,Rechts,STGB-303,Sachbeschadigung,CDU,,,,,,,9022
9023,25.08.2019,Wurzen,1,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,9023
9024,25.08.2019,Grimma,0,Rechts,STGB-303,Sachbeschadigung,Die Linke,,,,,,,9024
9025,25.08.2019,Leipzig,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,9025
9026,26.08.2019,Kyritz,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,9026
9027,26.08.2019,Glienicke,0,Nicht zuzuordnen,STGB-242,Diebstahl,FDP,,,,,,,9027
9032,26.08.2019,Falkensee,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,Grune,CDU,Die Linke,,,,9032
9033,26.08.2019,Premnitz,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,9033
9034,26.08.2019,Borkheide,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,9034
9035,26.08.2019,Glauchau,0,Rechts,STGB-303,Sachbeschadigung,Die Linke,,,,,,,9035
9036,26.08.2019,Chemnitz,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,9036
9037,26.08.2019,Grimma,0,Rechts,STGB-303,Sachbeschadigung,Die Linke,,,,,,,9037
9038,26.08.2019,Grimma,0,Rechts,STGB-303,Sachbeschadigung,Die Linke,,,,,,,9038
9039,26.08.2019,Glauchau,0,Nicht zuzuordnen,STGB-242,Diebstahl,Sonstige,,,,,,,9039
9040,26.08.2019,Dresden,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,9040
9041,27.08.2019,Rheinsberg,4,Nicht zuzuordnen,STGB-303,Sachbeschadigung,FDP,,,,,,,9041
9042,27.08.2019,Finsterwalde,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Sonstige,,,,,,,9042
9043,27.08.2019,Eisenhuttenstadt,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,9043
9044,27.08.2019,Chemnitz,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,9044
9045,27.08.2019,Freital,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,9045
9046,27.08.2019,Freital,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Sonstige,,,,,,,9046
9047,27.08.2019,Radebeul,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,9047
9048,27.08.2019,Leipzig,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,9048
9052,27.08.2019,Leipzig,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,9052
9053,27.08.2019,Leipzig,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,9053
9054,27.08.2019,Leipzig,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,9054
9056,27.08.2019,Schkeuditz,0,Nicht zuzuordnen,STGB-248A,Diebstahl geringwertiger Sachen,SPD,,,,,,,9056
9057,27.08.2019,Oschatz,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,9057
9058,27.08.2019,Schkeuditz,0,Rechts,STGB-303,Sachbeschadigung,SPD,,,,,,,9058
9059,27.08.2019,Dresden,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,9059
9060,27.08.2019,Tharandt,0,Links,STGB-242,Diebstahl,AfD,,,,,,,9060
9061,28.08.2019,Oranienburg,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Grune,,,,,,,9061
9062,28.08.2019,Hohen Neuendorf,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,9062
9065,28.08.2019,Senftenberg,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,CDU,,,,,,9065
9066,28.08.2019,Potsdam,0,Nicht zuzuordnen,STGB-242,Diebstahl,Grune,,,,,,,9066
9067,28.08.2019,Elmshorn,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,FDP,,,,,,,9067
9068,28.08.2019,Elmshorn,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,FDP,,,,,,,9068
9069,28.08.2019,Elmshorn,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,FDP,,,,,,,9069
9070,28.08.2019,Elmshorn,0,Nicht zuzuordnen,STGB-130,Volksverhetzung,FDP,,,,,,,9070
9071,28.08.2019,Elmshorn,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,FDP,,,,,,,9071
9072,28.08.2019,Elmshorn,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,FDP,,,,,,,9072
9073,28.08.2019,Elmshorn,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,FDP,,,,,,,9073
9074,28.08.2019,Elmshorn,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,FDP,,,,,,,9074
9078,28.08.2019,Weisswasser,0,Links,STGB-86A,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,AfD,,,,,,,9078
9079,28.08.2019,Oschatz,0,Links,STGB-242,Diebstahl,AfD,,,,,,,9079
9080,28.08.2019,Dresden,0,Nicht zuzuordnen,STGB-303,SachbeschRligung,FDP,,,,,,,9080
9081,28.08.2019,Dresden,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,9081
9082,28.08.2019,Machern,0,Rechts,STGB-303,Sachbeschadigung,Die Linke,,,,,,,9082
9088,28.08.2019,Heidenau,0,Nicht zuzuordnen,STGB-304,Sachbeschadigung,Sonstige,,,,,,,9088
9089,29.08.2019,Schwedt,0,Nicht zuzuordnen,STGB-242,Diebstahl,Sonstige,,,,,,,9089
9090,29.08.2019,Neuruppin,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,9090
9093,29.08.2019,Doberlug-Kirchhain,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,AfD,Die Linke,,,,,9093
9094,29.08.2019,Neustadt,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,9094
9095,29.08.2019,Neuruppin,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,9095
9100,29.08.2019,Brandenburg,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,FDP,Die Linke,CDU,AfD,,,,9100
9101,29.08.2019,Stahnsdorf,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,9101
9102,29.08.2019,Werder,0,Rechts,STGB-303,Sachbeschadigung,Die Linke,,,,,,,9102
9107,29.08.2019,Chemnitz,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,Grune,CDU,Die Linke,,,,9107
9112,29.08.2019,Chemnitz,1,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,Grune,CDU,Die Linke,,,,9112
9113,29.08.2019,Rochlitz,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,9113
9114,29.08.2019,Klipphausen,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,9114
9115,29.08.2019,Dresden,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,9115
9116,29.08.2019,Lunzenau,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,9116
9117,29.08.2019,Grimma,0,Rechts,STGB-242,Diebstahl,Die Linke,,,,,,,9117
9118,29.08.2019,Leipzig,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,9118
9119,29.08.2019,Heidenau,2,Nicht zuzuordnen,STGB-303,Sachbeschadigung,FDP,,,,,,,9119
9125,29.08.2019,Dresden,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,9125
9126,29.08.2019,Dresden,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,9126
9128,29.08.2019,Seelitz,0,Links,STGB-248A,Diebstahl geringwertiger Sachen,AfD,,,,,,,9128
9129,29.08.2019,Rochlitz,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,9129
9130,29.08.2019,Dresden,3,Links,STGB-303,Sachbeschadigung,FDP,,,,,,,9130
9131,30.08.2019,Oberuckersee,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,9131
9132,30.08.2019,Am Mellensee,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,9132
9133,30.08.2019,Gross Kreutz,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,9133
9134,30.08.2019,Chemnitz,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,FDP,,,,,,,9134
9138,30.08.2019,Grimma,0,Rechts,STGB-86A,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,Sonstige,,,,,,,9138
9139,30.08.2019,Dresden,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,9139
9140,31.08.2019,Leegebruch,0,Rechts,STGB-303,Sachbeschadigung,Die Linke,,,,,,,9140
9141,31.08.2019,Prenzlau,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,9141
9146,31.08.2019,Finsterwalde,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,AfD,Die Linke,CDU,Grune,,,9146
9147,31.08.2019,Templin,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,9147
9150,31.08.2019,Wildau,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,CDU,,,,,,9150
9153,31.08.2019,Wusterhausen,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,Grune,,,,,,9153
9156,31.08.2019,Brandenburg,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,Grune,AfD,FDP,,,,9156
9161,31.08.2019,Michendorf,0,Rechts,STGB-303,Sachbeschadigung,Die Linke,,,,,,,9161
9162,31.08.2019,Zwenkau,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Die Linke,,,,,,,9162
9166,31.08.2019,Bischofswerda,0,Rechts,STGB-86A,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,CDU,,,,,,,9166
9169,31.08.2019,Claussnitz,2,Nicht zuzuordnen,STGB-303,Sachbeschadigung,FDP,SPD,AfD,,,,,9169
9170,31.08.2019,Weinbohla,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,9170
9171,31.08.2019,Oelsnitz,1,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Sonstige,,,,,,,9171
9172,31.08.2019,Dresden,1,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Sonstige,,,,,,,9172
9175,31.08.2019,Kreischa,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,CDU,Die Linke,,,,,9175
9176,31.08.2019,Dresden,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,9176
9177,01.09.2019,Neuruppin,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,9177
9178,01.09.2019,Zeuthen,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,9178
9179,01.09.2019,Cottbus,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,9179
9182,01.09.2019,Zeuthen,0,Rechts,STGB-303,Sachbeschadigung,FDP,Grune,,,,,,9182
9185,01.09.2019,Dobern,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,AfD,SPD,Die Linke,,,,,9185
9186,01.09.2019,Falkensee,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,9186
9191,01.09.2019,Vogelsdorf,1,Nicht zuzuordnen,STGB-303,Sachbeschadigung,AfD,SPD,Grune,FDP,,,,9191
9196,01.09.2019,Potsdam,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,9196
9197,01.09.2019,Putlitz,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,9197
9198,01.09.2019,Chemnitz,2,Links,STGB-303,Sachbeschadigung,CDU,,,,,,,9198
9201,01.09.2019,Borna,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Die Linke,Grune,CDU,,,,,9201
9205,01.09.2019,Zwickau,0,Rechts,STGB-86A,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,CDU,,,,,,,9205
9206,01.09.2019,Zwickau,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Grune,,,,,,,9206
9207,01.09.2019,Radebeul,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,9207
9210,01.09.2019,Bad Gottleuba-Berggiesshubel,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,9210
9211,01.09.2019,Dresden,1,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Sonstige,,,,,,,9211
9212,02.09.2019,Finsterwalde,1,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,9212
9213,02.09.2019,Potsdam,0,Nicht zuzuordnen,STGB-242,Diebstahl,Sonstige,,,,,,,9213
9214,02.09.2019,Oppach,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Sonstige,,,,,,,9214
9215,03.09.2019,Glienicke,0,Nicht zuzuordnen,STGB-242,Diebstahl,FDP,,,,,,,9215
9216,03.09.2019,Glienicke,0,Nicht zuzuordnen,STGB-242,Diebstahl,FDP,,,,,,,9216
9217,03.09.2019,Niederwiesa,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Sonstige,,,,,,,9217
9221,04.09.2019,Hohen Neuendorf,0,Nicht zuzuordnen,STGB-86A,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,CDU,,,,,,,9221
9222,04.09.2019,Eberswalde,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,9222
9225,04.09.2019,Dresden,1,Nicht zuzuordnen,STGB-303,Sachbeschadigung,FDP,,,,,,,9225
9226,04.09.2019,Dresden,1,Nicht zuzuordnen,STGB-303,Sachbeschadigung,FDP,,,,,,,9226
9227,05.09.2019,Rangsdorf,0,Nicht zuzuordnen,STGB-242,Diebstahl,Sonstige,,,,,,,9227
9232,05.09.2019,Hamburg,1,Nicht zuzuordnen,STGB-303,Sachbeschadigung,AfD,,,,,,,9232
9233,05.09.2019,Oelsnitz,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,9233
9234,05.09.2019,Radebeul,0,Links,STGB-242,Diebstahl,AfD,,,,,,,9234
9235,05.09.2019,Radebeul,0,Links,STGB-242,Diebstahl,MD,,,,,,,9235
9236,05.09.2019,Radebeul,0,Links,STGB-242,Diebstahl,AfD,,,,,,,9236
9237,06.09.2019,Dresden,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,FDP,,,,,,,9237
9238,06.09.2019,Leipzig,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,FDP,,,,,,,9238
9239,06.09.2019,Erfurt,2,Rechts,STGB-303,Sachbesch5cligung,FDP,,,,,,,9239
9240,07.09.2019,Dresden,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,9240
9241,07.09.2019,Erfurt,2,Nicht zuzuordnen,STGB-240,Notigung,Die Linke,,,,,,,9241
9242,08.09.2019,Halle,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Die Linke,,,,,,,9242
9243,08.09.2019,Halle,0,Nicht zuzuordnen,STGB-303,Sachbesch5cligung,Die Linke,,,,,,,9243
9244,08.09.2019,Leipzig,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,9244
9248,09.09.2019,Gorsbach,0,Rechts,STGB-86A,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,Sonstige,,,,,,,9248
9253,12.09.2019,Hohen Neuendorf,0,Rechts,STGB-303,Sachbeschadigung,Die Linke,SPD,FDP,CDU,,,,9253
9254,15.09.2019,Kullstedt,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,9254
9255,16.09.2019,Hamburg,1,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,9255
9259,17.09.2019,Brieselang,0,Rechts,STGB-86A,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,Sonstige,,,,,,,9259
9260,17.09.2019,SUnna,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Die Linke,,,,,,,9260
9261,18.09.2019,Werneuchen,0,Links,STGB-242,Diebstahl,AfD,,,,,,,9261
9262,18.09.2019,Kremmen,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,9262
9266,19.09.2019,Mainz,1,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Sonstige,,,,,,,9266
9267,19.09.2019,Saalfeld,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Die Linke,,,,,,,9267
9268,20.09.2019,Neumark,0,Nicht zuzuordnen,STGB-242,Diebstahl,Grune,,,,,,,9268
9269,20.09.2019,Bad Salzungen,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Die Linke,,,,,,,9269
9270,20.09.2019,Arnstadt,0,Rechts,STGB-303,Sachbeschadigung,Die Linke,,,,,,,9270
9273,20.09.2019,Gotha,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Die Linke,SPD,,,,,,9273
9274,21.09.2019,Lubben,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Sonstige,,,,,,,9274
9275,21.09.2019,Vacha,0,Rechts,STGB-303,Sachbeschadigung,CDU,,,,,,,9275
9276,21.09.2019,Vacha,0,Rechts,STGB-303,Sachbeschadigung,Die Linke,,,,,,,9276
9277,21.09.2019,Sonneberg,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,9277
9280,23.09.2019,Rottenbach,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Die Linke,,,,,,,9280
9281,24.09.2019,Weimar,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Die Linke,,,,,,,9281
9282,24.09.2019,Bad Salzungen,1,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Die Linke,,,,,,,9282
9283,25.09.2019,Uder,0,Nicht zuzuordnen,STGB-242,Diebstahl,Grune,,,,,,,9283
9284,26.09.2019,Dingelstadt,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,9284
9286,26.09.2019,Dingelstadt,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Grune,,,,,,,9286
9289,27.09.2019,Rudolstadt,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Die Linke,CDU,SPD,,,,,9289
9290,28.09.2019,Gotha,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,9290
9291,01.10.2019,Neubrandenburg,0,Nicht zuzuordnen,Â§ 303 StGB,Sachbeschadigung,Grune,,,,,,,9291
9292,03.10.2019,Wurzen,0,Nicht zuzuordnen,Â§ 303 StGB,Sachbeschadigung,CDU,,,,,,,9292
9293,04.10.2019,Neuwied,0,Links,Â§ 303 StGB,Sachbeschadigung,AfD,,,,,,,9293
9294,04.10.2019,Chemnitz,0,Rechts,Â§ 90a StGB,Verunglimpfung des,CDU,,,,,,,9294
9297,06.10.2019,Wittstock,0,Rechts,Â§ 303 StGB,Sachbeschadigung,Die Linke,,,,,,,9297
9298,06.10.2019,Hannover,0,Nicht zuzuordnen,Â§ 303 StGB,Sachbeschadigung,SPD,,,,,,,9298
9299,07.10.2019,Chemnitz,0,Rechts,Â§ 90a StGB,Verunglimpfung des,CDU,,,,,,,9299
9302,08.10.2019,Hamburg,0,Nicht zuzuordnen,Â§ 303 StGB,Sachbeschadigung,FDP,,,,,,,9302
9303,09.10.2019,Hameln,0,Links,Â§ 303 StGB,Sachbeschadigung,AfD,,,,,,,9303
9304,10.10.2019,Berlin,8,Nicht zuzuordnen,Â§ 240 StGB,Notigung,CDU,,,,,,,9304
9305,11.10.2019,Lubeck,0,Links,Â§ 303 StGB,Sachbeschadigung,Sonstige Partei,,,,,,,9305
9306,12.10.2019,Berlin,0,Links,Â§ 303 StGB,Sachbeschadigung,Sonstige Partei,,,,,,,9306
9307,12.10.2019,Deidesheim,0,Nicht zuzuordnen,Â§ 303 StGB,Sachbeschadigung,Grune,,,,,,,9307
9308,12.10.2019,Heilbad Heiligenstadt,1,Links,Â§ 303 StGB,Sachbeschadigung,AfD,,,,,,,9308
9310,14.10.2019,Lubeck,0,Links,Â§ 303 StGB,Sachbeschadigung,AfD,,,,,,,9310
9311,14.10.2019,Dresden,0,Links,Â§ 303 StGB,Sachbeschadigung,AfD,,,,,,,9311
9312,15.10.2019,Rottweil,0,Links,Â§ 303 StGB,Sachbeschadigung,AfD,,,,,,,9312
9314,16.10.2019,Munchen,1,Links,Â§ 123 StGB,Hausfriedensbruch,CSU,,,,,,,9314
9315,16.10.2019,Weimar,0,Links,Â§ 303 StGB,Sachbeschadigung,FDP,,,,,,,9315
9316,17.10.2019,Tauberbischofsheim,0,Links,Â§ 303 StGB,Sachbeschadigung,AfD,,,,,,,9316
9324,17.10.2019,Gelsenkirchen,0,Nicht zuzuordnen,Â§ 303 StGB,Sachbeschadigung,Sonstige Partei,,,,,,,9324
9325,18.10.2019,Bayreuth,0,Links,Â§ 303 StGB,Sachbeschadigung,FDP,,,,,,,9325
9326,18.10.2019,Bayreuth,0,Links,Â§ 303 StGB,Sachbeschadigung,AfD,,,,,,,9326
9327,18.10.2019,Koln,0,Links,Â§ 303 StGB,Sachbeschadigung,AfD,,,,,,,9327
9328,18.10.2019,Freiberg,1,Links,Â§ 86a StGB,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,AfD,,,,,,,9328
9332,18.10.2019,Erfurt,0,Links,Â§ 303 StGB,Sachbeschadigung,AfD,,,,,,,9332
9333,19.10.2019,Berlin,0,Links,Â§ 303 StGB,Sachbeschadigung,AfD,,,,,,,9333
9334,20.10.2019,Olpe,0,Nicht zuzuordnen,Â§ 303 StGB,Sachbeschadigung,Grune,,,,,,,9334
9335,20.10.2019,Heilbad Heiligenstadt,0,Links,Â§ 303 StGB,Sachbeschadigung,AfD,,,,,,,9335
9337,22.10.2019,Berlin,0,Links,Â§ 303 StGB,Sachbeschadigung,CDU,,,,,,,9337
9338,22.10.2019,Berlin,0,Links,Â§ 303 StGB,Sachbeschadigung,CDU,,,,,,,9338
9339,23.10.2019,Berlin,0,Links,Â§ 303 StGB,Sachbeschadigung,CDU,,,,,,,9339
